gene	Chr	Length
AC099669.1	3	128297
ZNF660	3	21472
MPRIPP1	3	1089
ZNF197	3	63584
ZNF197-AS1	3	7670
ZNF35	3	12065
AC124045.1	3	1953
SOCS5P3	3	1576
ZNF502	3	11189
ZNF501	3	7488
KIAA1143	3	24002
KIF15	3	111660
TMEM42	3	3802
MIR564	3	94
TGM4	3	40383
AC098649.1	3	1748
ZDHHC3	3	60929
RPL12P44	3	810
EXOSC7	3	60826
CLEC3B	3	34524
RNU5B-3P	3	115
CDCP1	3	64145
RPS24P8	3	402
TMEM158	3	1813
LARS2	3	160916
LARS2-AS1	3	25572
LIMD1	3	130945
LIMD1-AS1	3	10092
SACM1L	3	56369
RN7SL145P	3	296
AC098476.1	3	1025
SLC6A20	3	41086
LZTFL1	3	92727
AC099782.1	3	474
CCR9	3	16674
FYCO1	3	77926
CXCR6	3	7421
XCR1	3	10719
NRBF2P2	3	861
FLT1P1	3	1320
CCR3	3	103103
CCR1	3	6688
UQCRC2P1	3	1332
CCR2	3	7195
AC098613.1	3	42105
CCR5	3	5353
CCRL2	3	5835
LINC02009	3	7068
LTF	3	49590
RTP3	3	3459
LRRC2	3	64677
LRRC2-AS1	3	2297
TDGF1	3	7930
AC104304.1	3	36077
FAM240A	3	14109
SNORD77	3;X;15;15	284
ALS2CL	3	24708
TMIE	3	9554
PRSS50	3;3	100460
PRSS46	3	16847
PRSS45	3	2664
AC109583.1	3	268
PRSS44	3	3200
PRSS42	3	4554
MYL3	3	24298
PTH1R	3	26054
AC109583.2	3	129
CCDC12	3	60285
NBEAL2	3	30021
NRADDP	3	1605
SETD2	3	147539
MRPL57P3	3	176
KIF9-AS1	3	82105
KIF9	3	55426
SNORD13P3	3	104
KLHL18	3	63900
AC104447.1	3	2124
AC099778.1	3	1911
PTPN23	3	32431
SCAP	3	63433
AC099778.2	3	211
ELP6	3	18122
BOLA2P2	3	567
RN7SL870P	3	296
CSPG5	3	18554
SMARCC1	3	196835
AC112512.1	3	2963
AC130472.1	3	309
DHX30	3	47287
MIR1226	3	75
MAP4	3	238583
VPS26BP1	3	755
AC124916.2	3	224
RN7SL664P	3	305
AC124916.1	3	547
CDC25A	3	31257
SNRPFP4	3	242
RNU7-128P	3	62
NDUFB1P1	3	180
MIR4443	3	53
CAMP	3	2145
ZNF589	3	58154
MRPS18AP1	3	589
FCF1P2	3	583
NME6	3	8422
SPINK8	3	21500
MIR2115	3	100
FBXW12	3	29041
RN7SL321P	3	299
PLXNB1	3	26198
CCDC51	3	8293
TMA7	3	3952
AC134772.1	3	6305
ATRIP	3	19007
AC134772.2	3	20800
TREX1	3	1835
SHISA5	3	37029
PFKFB4	3	44332
MIR6823	3	61
UCN2	3	2047
COL7A1	3	31195
MIR711	3	76
UQCRC1	3	11975
TMEM89	3	1097
SLC26A6	3	9771
MIR6824	3	63
CELSR3	3	26447
MIR4793	3	87
CELSR3-AS1	3	5399
AC141002.1	3	279
NCKIPSD	3	12521
IP6K2	3	52351
PRKAR2A	3	103250
PRKAR2A-AS1	3	4410
SLC25A20	3	42063
ARIH2OS	3	1598
ARIH2	3	67562
AC137630.2	3	4068
AC137630.1	3	4940
AC137630.4	3	479
P4HTM	3	17269
WDR6	3	8892
DALRD3	3	6806
MIR425	3	87
NDUFAF3	3	3037
MIR191	3	92
IMPDH2	3	5084
AC137630.3	3	391
QRICH1	3	64657
RN7SL182P	3	300
QARS	3	9204
MIR6890	3	61
USP19	3	12893
LAMB2	3	12005
AC135506.1	3	20766
CCDC71	3	3787
KLHDC8B	3	4876
C3orf84	3	14227
CCDC36	3	59677
AC121247.2	3	136
AC121247.1	3	1232
C3orf62	3	9308
MIR4271	3	67
USP4	3	62882
GPX1	3	1425
RHOA	3	53854
RHOA-IT1	3	1862
TCTA	3	4270
AMT	3	5979
AC104452.1	3	12538
NICN1	3	6381
RNA5SP130	3	114
DAG1	3	66916
BSN-AS2	3	5061
BSN	3	117057
BSN-AS1	3	1287
APEH	3	9962
MST1	3	5555
AC099668.1	3	504
RNF123	3	32031
AMIGO3	3	2862
GMPPB	3	7108
IP6K1	3	62249
COX6CP14	3	174
AC139451.1	3	330
CDHR4	3	9104
FAM212A	3	1777
UBA7	3	8740
MIR5193	3	109
TRAIP	3	27976
CAMKV	3	12235
RN7SL217P	3	286
ACTBP13	3	4634
MST1R	3	16872
AC105935.2	3	4456
AC105935.1	3	13093
MON1A	3	21312
RBM6	3	160039
RBM5	3	30114
RBM5-AS1	3	1386
SEMA3F-AS1	3	40064
SEMA3F	3	34031
MIR566	3	94
GNAT1	3	4905
SLC38A3	3	16241
GNAI2	3	33064
MIR5787	3	55
U73169.1	3	367
U73166.1	3	3056
SEMA3B-AS1	3	731
SEMA3B	3	9989
MIR6872	3	62
LSMEM2	3	9088
IFRD2	3	5187
HYAL3	3	6638
NAT6	3	3020
HYAL1	3	12493
HYAL2	3	5117
TUSC2	3	8225
RASSF1	3	11199
RASSF1-AS1	3	790
ZMYND10-AS1	3	4592
ZMYND10	3	5743
NPRL2	3	3762
CYB561D2	3;3	10630
Z84492.1	3	17032
TMEM115	3	4862
CACNA2D2	3	141446
RNA5SP131	3	119
C3orf18	3	13003
HEMK1	3	27017
AC096920.2	3	1270
CISH	3	5342
MAPKAPK3	3	37778
LINC02019	3	2060
MIR4787	3	84
DOCK3	3	708958
AC096920.1	3	241
AC126120.1	3	470
ZNF652P1	3	1612
ST13P14	3	946
MANF	3	4351
RBM15B	3	6641
DCAF1	3	104136
RAD54L2	3	127524
RNU6ATAC29P	3	125
TEX264	3	41631
RNA5SP132	3	118
GRM2	3	11544
IQCF6	3	627
IQCF4	3	2033
IQCF3	3	13253
IQCF2	3	1796
RN7SL504P	3	287
IQCF5-AS1	3	2172
IQCF5	3	1864
IQCF1	3	8460
RRP9	3	8512
PARP3	3	6523
AC115284.2	3	2054
GPR62	3	2191
PCBP4	3	16563
AC115284.1	3	12820
ABHD14B	3	14900
ABHD14A	3	9774
ABHD14A-ACY1	3	14478
ACY1	3	5925
RPL29	3	2343
DUSP7	3	7632
POC1A	3	79438
ALDOAP1	3	1616
ALAS1	3	16242
AC097637.2	3	1997
TLR9	3	5084
AC097637.1	3	10110
TWF2	3	10651
AC006252.1	3	1840
PPM1M	3	4805
WDR82	3	33600
MIRLET7G	3	84
GLYCTK	3	6388
GLYCTK-AS1	3	10488
MIR135A1	3	90
DNAH1	3	84173
AC092045.1	3	1231
BAP1	3	9338
PHF7	3	12985
SEMA3G	3	12033
TNNC1	3	2969
NISCH	3	37954
STAB1	3	29158
NT5DC2	3	10670
SMIM4	3	45225
PBRM1	3	140566
RNU6-856P	3	98
RNU6ATAC16P	3	138
GNL3	3	13337
SNORD19B	3;3	164
SNORD19	3;3;3	217
SNORD69	3	77
GLT8D1	3	11545
SPCS1	3	6192
NEK4	3	62501
AC104446.1	3	1321
AC006254.2	3	279
AC006254.3	3	1165
ITIH1	3	14477
ITIH3	3	14242
ITIH4	3	18505
AC006254.1	3	22448
ITIH4-AS1	3	1380
MUSTN1	3	2106
TMEM110-MUSTN1	3	64442
TMEM110	3	61378
MIR8064	3	90
AC099667.1	3	469
SFMBT1	3	143179
AC096887.1	3	130335
AC096887.2	3	1957
SERBP1P3	3	809
RFT1	3	41980
PRKCD	3	36709
TKT	3	31346
DCP1A	3	64183
CACNA1D	3	484771
SNORD38C	3	69
AC092035.1	3	390
SNORD63	3;5;17	212
AC012467.1	3	256
CHDH	3	34056
IL17RB	3	19221
AC012467.2	3	2583
ACTR8	3	15137
SELENOK	3	7579
CABYRP1	3	1045
CACNA2D3	3	952011
RPS15P5	3	432
ESRG	3	7736
CACNA2D3-AS1	3	26651
LRTM1	3	48852
AC092059.1	3	8823
LINC02017	3	11043
LINC02030	3	4539
AC121764.2	3	15454
AC121764.3	3	1387
WNT5A	3	24825
WNT5A-AS1	3	610
AC121764.1	3	11432
ERC2	3	960056
AC025572.1	3	2502
ERC2-IT1	3	2177
MIR3938	3	103
RN7SKP45	3	304
RNA5SP133	3	119
CCDC66	3	64658
FAM208A	3	63105
ARHGEF3	3	351912
ARHGEF3-AS1	3	20815
SPATA12	3	14992
AC097358.2	3	1159
IL17RD	3	80325
AC097358.1	3	582
HESX1	3	28679
APPL1	3	45732
ASB14	3	24336
DNAH12	3	250646
RNU6-1181P	3	106
RNF7P1	3	342
AC092418.1	3	623
RNU6-108P	3	107
RNU6-483P	3	108
PDE12	3	10569
ARF4	3	26858
ARF4-AS1	3	3213
RNU6ATAC26P	3	126
DENND6A	3	67633
DENND6A-AS1	3	26109
AC114480.1	3	3392
SLMAP	3	173719
AC099777.1	3	1393
PPIAP16	3	487
FLNB	3	163852
FLNB-AS1	3	8090
AC137936.1	3	3897
AC137936.2	3	7487
DNASE1L3	3	22441
ABHD6	3	58188
RPP14	3	18449
HTD2	3	12313
AC098479.1	3	154
PXK	3	93247
AC135507.2	3	309
PDHB	3	6228
AC135507.1	3	561
AC116036.2	3	462
KCTD6	3	10247
ACOX2	3	32184
AC116036.1	3	367
FAM107A	3	63494
AC119424.1	3	1576
FAM3D-AS1	3	27361
FAM3D	3	32903
C3orf67	3	332720
C3orf67-AS1	3	194657
AC114400.1	3	54360
AC138057.1	3	8681
AC126121.2	3	46349
AC126121.1	3	553
FHIT	3	1502150
AC104164.3	3	1258
MIR548BB	3	66
AC104164.2	3	495
AC104164.1	3	590
AC104164.4	3	493
PTPRG	3	736045
AC096919.1	3	652
RNU2-10P	3	211
AC104849.1	3	405
PTPRG-AS1	3	108466
C3orf14	3	17241
FEZF2	3	4644
CADPS	3	477044
AC012519.1	3	610
RN7SL863P	3	296
RNU6-139P	3	110
AC096915.1	3	512
LINC00698	3	174633
KRT8P35	3	1338
UBL5P3	3	231
SYNPR	3	388607
SYNPR-AS1	3	126456
RNA5SP134	3	96
SNTN	3	26353
AC104162.1	3	85619
C3orf49	3	29275
THOC7	3	30034
THOC7-AS1	3	1175
ATXN7	3	138906
AC012557.3	3	255
PSMD6-AS2	3	8127
AC012557.1	3	611
PSMD6	3	13462
PSMD6-AS1	3	4283
AC012557.2	3	418
PRICKLE2-AS1	3;3	35168
LINC00994	3	9003
PRICKLE2	3	353235
PRICKLE2-AS2	3	2587
PRDX3P4	3	747
PRICKLE2-AS3	3	13422
AC096888.1	3	9602
RNU6-739P	3	103
ADAMTS9	3	172347
ADAMTS9-AS1	3	31436
ADAMTS9-AS2	3	326560
LINC02040	3	18542
MAGI1	3	685310
AC121493.1	3	450
ILF2P1	3	1168
RPL17P17	3	557
MAGI1-IT1	3	81744
MAGI1-AS1	3	31482
AC106827.1	3	431
SLC25A26	3	254507
RNU6-787P	3	107
RN7SL482P	3	298
LRIG1	3	122467
AC104440.1	3	343
RPL21P41	3	264
KBTBD8	3	12904
MIR4272	3	64
AC114401.1	3	10060
SUCLG2	3	294155
NDUFB4P1	3	381
SUCLG2-AS1	3	293017
FAM19A1	3	541410
COPS8P2	3	627
AC107626.1	3	183
AC096922.1	3	651
PSMC1P1	3	1320
FAM19A4	3	221532
RNA5SP135	3	125
EOGT	3	38748
AC109587.1	3	42682
TMF1	3	32477
MIR3136	3	78
UBA3	3	25679
ARL6IP5	3	21123
LMOD3	3	16161
FRMD4B	3	372594
RBM43P1	3	1081
AC099328.1	3	1030
AC099328.2	3	7017
AC104445.1	3	1781
MITF	3	228903
RN7SL418P	3	287
SAMMSON	3	15742
AC139700.1	3	1540
UQCRHP4	3	272
AC134025.1	3	115833
COX6CP6	3	228
HMGB1P36	3	720
RNU6-281P	3	103
FOXP1	3	629297
AC138058.1	3	13530
FOXP1-AS1	3	16085
MIR1284	3	120
AC097634.2	3	3250
FOXP1-IT1	3	4203
AC097634.3	3	46838
AC097634.1	3	2467
EIF4E3	3	79358
GPR27	3	2447
PROK2	3	13551
RN7SL271P	3	295
UBE2Q2P9	3	202
LINC00877	3	244204
AC105265.3	3	8873
AC105265.4	3	4078
AC105265.1	3	179
AC105265.2	3	838
LINC00870	3	23076
AC112219.2	3	532
AC112219.1	3	6949
AC134508.1	3	2977
RYBP	3	74797
AC104435.2	3	45747
RNU1-62P	3	164
AC104435.1	3	166
RNA5SP136	3	107
SHQ1	3	112638
AC134050.1	3	933
AC114876.1	3	1366
LAPTM4BP2	3	446
GXYLT2	3	110066
FTH1P23	3	550
PPP4R2	3	72415
RNU7-19P	3	66
EBLN2	3	1679
RNU6-557P	3	110
RNU2-64P	3	191
CCDC75P1	3	791
RNU6-1270P	3	108
PDZRN3	3	242508
RNU7-119P	3	63
PDZRN3-AS1	3	5084
AC117489.1	3	3217
AC108725.1	3	409
LINC02005	3	94266
LINC02047	3	5805
AC016930.1	3	2205
AKR1B1P2	3	934
CNTN3	3	258573
NIPA2P2	3	1083
RN7SL294P	3	295
MIR4444-2	3	74
HNRNPA3P6	3	1006
MYLKP1	3	10523
AC131233.1	3	955
OR7E22P	3	988
AC139453.1	3	895
AC139453.3	3	7752
LSP1P2	3	133
AC139453.2	3	133
ALG1L6P	3	7074
FAM86DP	3	13559
LINC02018	3	22139
ENPP7P2	3	44434
SNRPCP10	3	210
AC133041.1	3	39951
RPS3AP15	3	781
AC108724.1	3	352
OR7E121P	3	1022
UNC93B3	3	4344
RPL23AP49	3	45882
AC108724.2	3	290
CLUHP10	3	4065
MIR1324	3	96
AGGF1P3	3	1213
RARRES2P1	3	481
FRG2C	3	2891
DUX4L26	3	1255
LINC00960	3	6913
ZNF717	3	75941
MIR4273	3	84
ROBO2	3	1743270
AC026877.1	3	1411
RNU6-386P	3	107
VDAC1P7	3	847
RNU6-217P	3	104
LINC02077	3	8090
AC117462.1	3	4867
RN7SL647P	3	300
RN7SKP61	3	295
AC108752.1	3	27792
MRPS17P3	3	385
ROBO1	3	1170576
AC055731.1	3	401
RN7SL751P	3	284
MIR3923	3	83
HMGB1P38	3	577
OSBPL9P1	3	1469
HNRNPA3P8	3	974
AC108740.1	3	225
AC068756.1	3	27922
LINC02050	3	24458
LINC02027	3	101780
AC099542.2	3	722
AC099542.1	3	50767
AC107302.1	3	1032
GBE1	3	272463
RNU2-28P	3	189
SETP6	3	568
AC017015.1	3	286
AC017015.2	3	2051
AC129807.1	3	82315
LINC02008	3	477538
RPL7AP23	3	1108
CYP51A1P1	3	1507
SRRM1P2	3	1192
LINC00971	3	243274
AC117482.1	3	911
LINC02025	3	8444
CADM2	3	1115449
MIR5688	3	83
CADM2-AS2	3	28064
CADM2-AS1	3	35825
THAP12P2	3	2560
snoZ40	3	72
RNU6-1129P	3	104
AC108733.1	3	2807
RN7SKP284	3	343
LINC02070	3	15054
AC108706.1	3	297
VGLL3	3	114732
PPATP1	3	1547
LINC00506	3	67941
MIR4795	3	89
CHMP2B	3	28278
POU1F1	3	17184
KRT8P25	3	1456
APOOP2	3	539
PSMC1P6	3	1319
AC117513.1	3	62228
RNU6-873P	3	107
RNU6ATAC6P	3	126
HTR1F	3	3140
CGGBP1	3	97942
ZNF654	3	85392
CBX5P1	3	561
C3orf38	3	18987
ABCF2P1	3	1867
AC108750.1	3	129150
NDUFA5P5	3	342
ICE2P2	3	2787
GAPDHP50	3	993
EPHA3	3	374611
MTCO2P6	3	685
MTCO1P6	3	1384
RNU6-712P	3	100
PROS2P	3	55100
HSPE1P19	3	295
Clostridiales-1	3;7;18	457
ABBA01000935.2	3	139540
RNU6-488P	3	99
PROS1	3	101034
RNU6-511P	3	107
ARL13B	3	75530
HMGN1P7	3	313
STX19	3	14242
DHFR2	3	15554
NSUN3	3	65630
RBBP4P2	3	1264
ARMC10P1	3	855
AC140059.1	3	361
WDR82P1	3	939
LINC00879	3	214338
RPS18P6	3	458
MTHFD2P1	3	28771
AC107304.1	3	604
HNRNPKP4	3	1386
MIR8060	3	76
AC107015.1	3	747
RNU6-1094P	3	104
MTRNR2L12	3	1049
RPL18AP8	3	528
RCC2P5	3	1487
CDV3P1	3	739
EPHA6	3	937880
AC117470.1	3	330
AC110491.1	3	2010
ARL6	3	36722
AC110491.3	3	21152
CRYBG3	3	122924
AC110491.2	3	37706
RIOX2	3	30640
GABRR3	3	48632
OR5BM1P	3	366
OR5AC1	3	925
OR5AC2	3	930
AC117460.1	3	48227
OR5AC4P	3	919
POU5F1P7	3	541
OR5H1	3	942
OR5H14	3	1080
OR5H15	3	1034
OR5H5P	3	928
OR5H3P	3	919
OR5H4P	3	923
AC117473.1	3	224248
OR5H7P	3	930
OR5H6	3	1113
OR5H2	3	945
OR5H8	3	931
OR5K4	3	966
OR5K3	3	966
UBFD1P1	3	814
OR5K1	3	1097
OR5K2	3	1060
CLDND1	3	25155
CPOX	3	72592
AC021660.2	3	2765
RPL38P4	3	214
GPR15	3	1252
AC021660.1	3	554
WWP1P1	3	2769
ST3GAL6-AS1	3	18322
ST3GAL6	3	88966
PDLIM1P4	3	1006
DCBLD2	3	105749
RNU6-26P	3	107
AC091212.1	3	116139
RNU6-1263P	3	106
LINC00973	3	2039
ACTG1P13	3	1043
AC107297.1	3	176
AC078828.1	3	5162
AC107029.1	3	19927
AC107029.2	3	25757
COL8A1	3	160752
AC069222.1	3	3360
CMSS1	3	363899
FILIP1L	3	284373
MIR3921	3	85
TMEM30CP	3	26080
DUSP12P1	3	2591
VTI1BP1	3	700
TBC1D23	3	64252
NIT2	3	26935
TOMM70	3	37968
LNP1	3	55127
TMEM45A	3	84826
ADGRG7	3	85891
GMFBP1	3	427
TFG	3	39636
ABI3BP	3	244360
AC080014.1	3	1201
RNU6-865P	3	107
ACTR3P3	3	893
IMPG2	3	98015
SENP7	3	189037
ZNF90P1	3	1951
AC110994.1	3	406
AC110994.2	3	492
FAM172BP	3	1089
TRMT10C	3	4585
PCNP	3	20343
AC073861.1	3	459
AC084198.1	3	402
RNU6-1256P	3	103
ZBTB11	3	28607
RNY1P12	3	105
ZBTB11-AS1	3	2743
RPL24	3	5692
PDCL3P4	3	720
CEP97	3	46638
NXPE3	3	48191
AC020651.1	3	1206
NFKBIZ	3	33032
LINC02085	3	57068
AC106712.1	3	37569
ZPLD1	3	380598
AC108748.1	3	10751
RNU6-461P	3	107
RNU1-43P	3	165
NDUFA4P2	3	244
MIR548AB	3	84
AC046144.1	3	1853
TUBBP11	3	252
RAP1BP2	3	544
AC091804.1	3	567
ALCAM	3	209992
CBLB	3	214092
AC079382.1	3	557
LINC00882	3	403831
FCF1P3	3	590
MTND4P16	3	1367
MTND4LP3	3	680
MTND3P6	3	339
MTCO3P35	3	781
MTATP6P22	3	598
MTND5P16	3	1703
MTND6P6	3	263
MTCO1P35	3	228
MTND1P16	3	898
MTND2P14	3	351
RNU6-1308P	3	103
AC074043.1	3	2090
DUBR	3	86273
AC063944.1	3	148694
AC063944.2	3	1368
AC063944.3	3	533
CCDC54	3	1444
LINC01990	3	32983
BBX	3	288389
LINC00635	3	41773
LINC00636	3	45660
AC012020.1	3	1728
CD47	3	47728
LINC01215	3	12790
IFT57	3	61759
HHLA2	3	81796
HNRNPA1P17	3	1295
MYH15	3	148954
AC069499.1	3	509
KIAA1524	3	39776
AC069499.2	3	382
DZIP3	3	105165
AC092185.1	3	97
RETNLB	3	13961
TRAT1	3	32308
GUCA1C	3	46104
MORC1	3	159904
MORC1-AS1	3	8887
FLJ22763	3	32263
AC063923.2	3	928
LINC00488	3	7093
RNU6-1236P	3	99
AC063923.1	3	1619
DPPA2	3	22730
DPPA4	3	11432
AC124945.1	3	188
AC092905.1	3	1255
H3F3AP3	3	407
LINC01205	3	85178
PPIAP15	3	484
MIR4445	3	70
AC078980.1	3	162755
DIMT1P1	3	763
AC068781.1	3	965
AC078918.1	3	228
AC117430.1	3	2101
RNU6ATAC15P	3	121
RPSAP29	3	869
AC117402.1	3	5093
PVRL3-AS1	3	177846
NECTIN3	3	205493
CD96	3	373032
AC092916.1	3	30783
ATP6V0CP2	3	207
AC092916.2	3	417
ZBED2	3	2544
AC055748.1	3	1418
PLCXD2	3	171772
PLCXD2-AS1	3	698
PHLDB2	3	244021
ABHD10	3	14354
TAGLN3	3	15224
RFKP2	3	719
TMPRSS7	3	46427
C3orf52	3	44670
MIR567	3	98
GCSAM	3	12465
AC128688.2	3	1937
SLC9C1	3	153372
AC128688.1	3	519
AC112487.1	3	30314
AC112487.2	3	304
CD200	3	30466
AC092894.1	3	12488
BTLA	3	35594
OR7E100P	3	1015
AC092692.1	3	2595
ATG3	3	29538
SLC35A5	3	23869
CCDC80	3	52737
AC048334.1	3	799
LINC02042	3	12873
AC092892.1	3	10342
CD200R1L	3	31148
CD200R1	3	53914
AC074044.1	3	707
GTPBP8	3	24143
NEPRO	3	17422
AC078785.1	3	163770
AC078785.3	3	425
AC078785.2	3	12532
LINC02044	3	25470
BOC	3	76457
CFAP44	3	154664
AC026348.1	3	1053
CFAP44-AS1	3	30002
MIR8076	3	83
SPICE1	3	72470
SIDT1	3	97283
SIDT1-AS1	3	1442
MIR4446	3	67
RN7SL767P	3	295
USF3	3	48262
NAA50	3	29841
AC108693.1	3	432
AC108693.2	3	537
ATP6V1A	3	65038
GRAMD1C	3	118993
AC079944.1	3	495
AC079944.2	3	734
VPS26AP1	3	979
AC128687.2	3	566
ZDHHC23	3	17501
CCDC191	3	92477
AC128687.1	3	619
QTRT2	3	82590
AC092896.1	3	380
DRD3	3	70756
AC093010.2	3	21892
AC093010.1	3	1624
ZNF80	3	2948
TIGIT	3	33376
AC093010.3	3	15214
ZBTB20	3	832771
MIR568	3	95
ZBTB20-AS1	3	37168
ZBTB20-AS5	3	83932
ZBTB20-AS2	3	3030
MIR4796	3	81
ZBTB20-AS3	3	3401
YBX1P3	3	909
ZBTB20-AS4	3	2639
AC046136.1	3	34152
EIF4E2P2	3	736
GAP43	3	98167
AC092468.1	3	2747
LSAMP	3	1337027
RN7SL815P	3	290
LSAMP-AS1	3	10067
LINC00903	3	15792
RN7SL582P	3	279
BZW1P2	3	826
TUSC7	3;3	14347
MIR4447	3	91
LINC00901	3;3	10911
RNU5E-8P	3	116
PTMAP8	3	342
RNU6-1200P	3	107
AC092691.1	3	325439
AC092691.2	3	803
LINC02024	3	12240
AC092691.3	3	3093
AC068633.1	3	552850
IGSF11	3	245512
IGSF11-AS1	3	5169
C3orf30	3	13893
AC083800.1	3	40433
UPK1B	3	31637
B4GALT4	3	29372
B4GALT4-AS1	3	64181
ARHGAP31	3	126342
RPS26P21	3	348
ARHGAP31-AS1	3	8468
RNU6-1127P	3	107
TMEM39A	3	39331
POGLUT1	3	25771
AC073352.1	3	504
TIMMDC1	3	26559
CD80	3	35310
AC073352.2	3	439
ADPRH	3	10678
PLA1A	3	31970
RPL10P7	3	625
POPDC2	3	28868
COX17	3	22942
MAATS1	3	64081
AC069444.1	3	6212
NR1I2	3	38002
PHBP8	3	725
GSK3B	3	273095
AC092910.1	3	1129
AC092910.2	3	348
AC092910.3	3	41889
RN7SL762P	3	289
RN7SL397P	3	298
GPR156	3	120450
AC063952.2	3	1227
LRRC58	3	24831
AC063952.1	3	74378
AC063952.4	3	2334
AC063952.3	3	1287
FSTL1	3	58961
MIR198	3	62
AC126182.1	3	357
AC126182.2	3	339
NDUFB4	3	6192
HGD	3	54399
RABL3	3	56313
MTCO1P29	3	288
MTCO2P29	3	189
GTF2E1	3	40433
NAP1L1P3	3	880
LINC02049	3	2921
STXBP5L	3	516690
AC072026.1	3	547
MIR5682	3	76
AC078857.1	3	667
AC079841.1	3	950
POLQ	3	115215
RPL7AP11	3	799
ARGFX	3	15931
FBXO40	3	37177
HCLS1	3	29529
RN7SL172P	3	303
RNU4-62P	3	130
GOLGB1	3	86569
IQCB1	3	65317
EAF2	3	51344
SLC15A2	3	50014
ILDR1	3	34882
CD86	3	65774
CASR	3	107947
HNRNPA1P23	3	1133
CSTA	3	16729
CCDC58	3	23641
FAM162A	3	28159
WDR5B	3	3720
AC083798.2	3	26974
AC083798.1	3	131
KPNA1	3	92997
AC096861.1	3	240
PARP9	3	36654
DTX3L	3	10966
PARP15	3	61446
EIF4BP8	3	1826
PARP14	3	50223
HSPBAP1	3	53822
DIRC2	3	86345
LINC02035	3	5476
SEMA5B	3	119413
PDIA5	3	158166
MIR7110	3	86
SEC22A	3	72204
AC112503.2	3	552
ADCY5	3	167463
AC112503.1	3	391
HACD2	3	94366
MYLK-AS1	3	59027
MYLK	3	274283
MYLK-AS2	3	2764
AC020634.1	3	549
SNORA5	3	131
CCDC14	3	64104
ROPN1	3	23658
KALRN	3	646303
MIR5002	3	97
RPL7P15	3	1104
MIR6083	3	106
RNU6-143P	3	93
AC022336.2	3	2538
UMPS	3	18908
MIR544B	3	78
AC022336.1	3	337
ITGB5	3	139471
ITGB5-AS1	3	6603
AC022336.3	3	1986
ENO1P3	3	1224
MUC13	3	48378
HEG1	3	90249
RNA5SP137	3	135
SLC12A8	3	130229
RNU6-230P	3	104
MIR5092	3	88
ZNF148	3	149794
DUTP1	3	470
AC108688.1	3	713
RNU6-232P	3	64
SNX4	3	73554
OSBPL11	3	66233
AF186996.7	3	209
AF186996.6	3	149
AF186996.3	3	964
AF186996.8	3	907
AF186996.2	3	907
AF186996.5	3	904
AF186996.1	3	1015
AF186996.4	3	377
AC092902.3	3	23240
AC092902.1	3	259
MIR548I1	3	149
RPS3AP14	3	780
SNRPCP11	3	205
AC092902.2	3	89147
ENPP7P4	3	61150
AC092903.2	3	2268
FAM86JP	3	13405
ALG1L	3	7765
AC092903.1	3	262
ROPN1B	3	14311
SLC41A3	3	95207
AC117422.1	3	1306
AC079848.1	3	11130
ALDH1L1	3	94433
ALDH1L1-AS1	3	4430
RNU1-30P	3	163
ALDH1L1-AS2	3	30105
AC016924.1	3	24484
AC063919.1	3	5158
KLF15	3	14808
CCDC37-AS1	3	1820
CFAP100	3	41618
AC073439.1	3	1774
ZXDC	3	38319
UROC1	3	36493
CHST13	3	19009
C3orf22	3	31967
RNA5SP138	3	114
TXNRD3NB	3;3	36777
TXNRD3	3	48104
AC024558.1	3	1270
NUP210P1	3	11331
AC078867.1	3	1118
CHCHD6	3	256187
RCC2P4	3	1042
AC011199.1	3	3362
PLXNA1	3	48799
C3orf56	3	5055
AC112482.1	3	688
RNU6-1047P	3	107
AC133681.1	3	601
LINC02016	3	68364
LINC01471	3	57091
AC016968.1	3	1235
LINC02034	3	2549
AC084035.1	3	607
TPRA1	3	25183
MIR6825	3	66
MIR7976	3	66
MCM2	3	24214
PODXL2	3	43629
ABTB1	3	7986
MGLL	3	134189
KBTBD12	3	72440
RNA5SP139	3	117
SEC61A1	3	20043
RUVBL1	3	89137
RNU2-37P	3	177
RUVBL1-AS1	3	3247
RNU6-823P	3	103
EEFSEC	3	255193
DNAJB8	3	4810
DNAJB8-AS1	3	8724
GATA2	3	13759
GATA2-AS1	3	13137
TMED10P2	3	612
LINC01565	3	4087
RPN1	3	61106
POU5F1P6	3	2271
SNORA24	3;4	266
RAB7A	3	88675
MARK2P8	3	952
FTH1P4	3	553
RN7SL698P	3	302
AC023598.1	3	361
MARK2P17	3	841
MARK3P3	3	727
MARK2P6	3	897
AC112484.4	3	811
AC112484.2	3	10228
AC112484.3	3	403
ACAD9	3	36472
KIAA1257	3	92825
AC112484.1	3	61457
AC112484.5	3	228
EFCC1	3	39114
AC108673.1	3	1159
GP9	3	1640
RAB43	3	35233
ISY1-RAB43	3	73462
AC108673.2	3	565
ISY1	3	33879
AC108673.3	3	335
CNBP	3	14439
RPS27P12	3	258
COPG1	3	28168
MIR6826	3	98
HMCES	3	27359
H1FX	3	1507
H1FX-AS1	3	10834
NUP210P3	3	2381
AC137695.1	3	489
AC137695.2	3	754
AL449212.1	3	12852
RPL32P3	3	16734
SNORA7B	3	139
EFCAB12	3	27331
MBD4	3	9236
IFT122	3	80472
RHO	3	6530
H1FOO	3	8254
PLXND1	3	51644
RN7SL752P	3	287
AC023162.1	3	474
